YY,MM,DD,HH,MI,SS,SEQ,THETIME,LOGID,CLIENTIP,REQUESTOR,SERVER,DBNAME,ACC,ELAPSED,BUSY,NRROWS,STATEMENT,ERROR
2004,1,14,22,33,37,4114044,14-JAN-04 10.33.38.000000000 AM,2003,128.220.233.85,skyserver.pha.jhu.edu,SDSSDR1,BESTDR1,public,0.03,0.001,1,"SELECT pobjID,prun,prerun,pcamcol,pfield,pobj,ptype,pra,pdec,pu,pg,pr,pi,pz,pErr_u,pErr_g,pErr_r,pErr_i,pErr_z FROM fGetNearbyObjEq(180,-0.5,3)n,PhotoPrimary WHERE nobjID=pobjID",0
2004,1,14,10,34,4,4115218,14-JAN-04 10.34.04.000000000 AM,2003,128.220.233.85,skyserver.pha.jhu.edu,SDSSDR1,BESTDR1,public,0.016,0,1,"SELECT pobjID,prun,prerun,pcamcol,pfield,pobj,ptype,pra,pdec,pu,pg,pr,pi,pz,pErr_u,pErr_g,pErr_r,pErr_i,pErr_z FROM fGetNearbyObjEq(180,-0.5,3)n,PhotoPrimary WHERE nobjID=pobjID",0
2004,1,14,22,34,54,4114042,14-JAN-04 10.34.55.000000000 AM,2003,128.220.233.85,skyserver.pha.jhu.edu,SDSSDR1,BESTDR1,public,0.016,0,1,"SELECT pobjID,prun,prerun,pcamcol,pfield,pobj,ptype,pra,pdec,pu,pg,pr,pi,pz,pErr_u,pErr_g,pErr_r,pErr_i,pErr_z FROM fGetNearbyObjEq(180,-0.5,3)n,PhotoPrimary WHERE nobjID=pobjID",0
2004,1,14,1,58,48,4119739,14-JAN-04 01.58.48.000000000 AM,2003,131.215.120.248,skyserver.pha.jhu.edu,SDSSDR1,BESTDR1,public,0.016,0.001,1,"SELECT specObjID,mjd,plate,tile,fiberID FROM SpecObj WHERE specObjID=109153259305828352",0
2004,1,14,1,58,47,4119740,14-JAN-04 01.58.48.000000000 AM,2003,131.215.120.248,skyserver.pha.jhu.edu,SDSSDR1,BESTDR1,public,0.03,0,1,"SELECT specObjID,mjd,plate,tile,fiberID FROM SpecObj WHERE specObjID=109153259138056192",0
2004,1,14,1,58,49,4119737,14-JAN-04 01.58.49.000000000 AM,2003,131.215.120.248,skyserver.pha.jhu.edu,SDSSDR1,BESTDR1,public,0.013,0,1,"SELECT specObjID,mjd,plate,tile,fiberID FROM SpecObj WHERE specObjID=110842121333768192",0
2004,1,14,1,58,48,4119738,14-JAN-04 01.58.49.000000000 AM,2003,131.215.120.248,skyserver.pha.jhu.edu,SDSSDR1,BESTDR1,public,0.03,0,1,"SELECT specObjID,mjd,plate,tile,fiberID FROM SpecObj WHERE specObjID=110842121015001088",0
2004,1,14,1,58,50,4119735,14-JAN-04 01.58.50.000000000 AM,2003,131.215.120.248,skyserver.pha.jhu.edu,SDSSDR1,BESTDR1,public,0.013,0.001,1,"SELECT specObjID,mjd,plate,tile,fiberID FROM SpecObj WHERE specObjID=110842121325379584",0
2004,1,14,1,58,49,4119736,14-JAN-04 01.58.50.000000000 AM,2003,131.215.120.248,skyserver.pha.jhu.edu,SDSSDR1,BESTDR1,public,0.03,0,1,"SELECT specObjID,mjd,plate,tile,fiberID FROM SpecObj WHERE specObjID=110842121316990976",0
2004,1,14,1,58,50,4119734,14-JAN-04 01.58.51.000000000 AM,2003,131.215.120.248,skyserver.pha.jhu.edu,SDSSDR1,BESTDR1,public,0.013,0,1,"SELECT specObjID,mjd,plate,tile,fiberID FROM SpecObj WHERE specObjID=110842121421848576",0
